dataset,model,seed,perturbation_rate,n_instances,mean_pred_drift,frac_pred_preserving,frac_plausible,shap_rank_sim_mean,shap_attr_sim_mean,shap_sign_cons_mean,lime_rank_sim_mean,lime_attr_sim_mean,lime_sign_cons_mean
german,lightgbm,123,-0.05,50,0.06429679561430623,0.48,0.98,0.9671423916585208,0.9611982551179159,0.9713636363636364,0.8087168910117238,0.8606461755268765,0.9280248917748918
german,lightgbm,123,0.05,50,0.12495165769009599,0.46,0.88,0.9522906484196808,0.9147948887832144,0.9268181818181819,0.8325379939209726,0.8164463420477479,0.8983901515151516
german,lightgbm,123,0.1,50,0.1500334189976102,0.42,0.84,0.9491408710763551,0.8832663197993789,0.9186363636363636,0.832644376899696,0.8286614970405382,0.899194582299421
german,lightgbm,2024,-0.1,50,0.08067178845472808,0.44,0.98,0.9663712392744652,0.9371425513296374,0.9668181818181819,0.6476400347372991,0.7880088182738406,0.8721378549765646
german,lightgbm,2024,-0.05,50,0.06231831018407835,0.46,0.98,0.9722776148582603,0.9575889251365385,0.9740909090909091,0.6500803300043421,0.8163866649625351,0.876246349569576
german,lightgbm,2024,0.05,50,0.12614617630319663,0.48,0.88,0.9336548278483764,0.9061190447824166,0.9240909090909091,0.6847199305254016,0.7922761244562793,0.8621810344827587
german,lightgbm,2024,0.1,50,0.14992253409874506,0.5,0.84,0.9271141522754428,0.8721314423281906,0.9168181818181819,0.7135909683022145,0.7794577329646978,0.8628018018018018
german,mlp,0,-0.1,50,0.06187479025845008,0.56,0.98,0.6399644588045235,0.8538448305100372,0.9971428571428571,0.5427095093356491,0.6845603017563477,0.7980045045045046
german,mlp,0,-0.05,50,0.05618385180735786,0.62,0.98,0.6720323101777059,0.8717415610115481,1.0,0.5662440295267043,0.671671505327703,0.7905984848484848
german,mlp,0,0.05,50,0.05436442526221035,0.54,0.88,0.6750490037695207,0.8464446453163152,0.9882539682539683,0.5583999131567521,0.6616126655608743,0.7733624031007751
german,mlp,0,0.1,50,0.055709694341339676,0.54,0.84,0.6858998384491115,0.852829762980793,0.9971428571428571,0.5414871906209292,0.6369642613814139,0.7795045045045045
german,mlp,7,-0.1,50,0.12757793408692772,0.38,0.98,0.6497016693591814,0.8620336049423966,0.9801666666666666,0.5708315240990013,0.6370947775442725,0.7555172413793103
german,mlp,7,-0.05,50,0.12157253400573033,0.38,0.98,0.6477264404954226,0.858170940162511,0.9836666666666667,0.577887537993921,0.6367042873470286,0.7474473684210526
german,mlp,7,0.05,50,0.22407866647536923,0.18,0.88,0.5875311504123858,0.8120004780589063,0.9706428571428571,0.5088797221016066,0.5171198948233535,0.7108600047415837
german,mlp,7,0.1,50,0.23815768510154264,0.18,0.84,0.5981938610662358,0.7985869768158816,0.9575,0.5087386018237082,0.49428750394248405,0.6943452380952381
